Country;Year;WellBeing;RobotsInstalled;ICT
Canada;2011;7.499;;
Canada;2012;7.477;;79.8
Canada;2014;7.427;;
Canada;2015;7.404;;
Canada;2016;7.316;;
Canada;2017;7.328;;78.5
Canada;2018;7.278;;
Canada;2019;7.2321;;81.8
Canada;2020;7.103;;
Canada;2021;7.025;;84.3
Canada;2022;6.961;;
Canada;2023;6.9;;83.3
Canada;2024;6.803;;
China;2011;4.68;23000.0;
China;2012;4.978;23000.0;
China;2014;5.14;57000.0;
China;2015;5.245;69000.0;
China;2016;5.273;97000.0;
China;2017;5.246;156000.0;
China;2018;5.191;155000.0;
China;2019;5.1239;148000.0;
China;2020;5.339;178000.0;
China;2021;5.585;268000.0;
China;2022;5.818;290000.0;
China;2023;5.973;276000.0;
China;2024;5.921;;
France;2011;6.746;;
France;2012;6.764;;64.48
France;2014;6.575;;63.59
France;2015;6.478;;66.82
France;2016;6.442;;68.5
France;2017;6.489;;66.53
France;2018;6.592;;69.41
France;2019;6.6638;;71.54
France;2020;6.69;;70.35
France;2021;6.687;;70.5
France;2022;6.661;;
France;2023;6.609;;68.84
France;2024;6.593;;
Germany;2011;6.572;20000.0;
Germany;2012;6.672;18000.0;82.03
Germany;2014;6.75;20000.0;85.77
Germany;2015;6.994;20000.0;87.12
Germany;2016;6.951;20000.0;88.93
Germany;2017;6.965;21000.0;87.32
Germany;2018;6.985;27000.0;87.39
Germany;2019;7.0758;22000.0;88.21
Germany;2020;7.155;22000.0;88.35
Germany;2021;7.034;24000.0;89.38
Germany;2022;6.892;26000.0;
Germany;2023;6.719;28000.0;92.85
Germany;2024;6.753;;
India;2011;4.975;;
India;2012;4.772;;
India;2014;4.565;;
India;2015;4.404;;
India;2016;4.315;;
India;2017;4.19;;
India;2018;4.015;;
India;2019;3.5733;;
India;2020;3.819;;
India;2021;3.777;;
India;2022;4.036;;
India;2023;4.054;;
India;2024;4.389;;
Japan;2011;6.059;28000.0;
Japan;2012;6.064;29000.0;88.9
Japan;2014;5.987;29000.0;87.7
Japan;2015;5.921;35000.0;89.6
Japan;2016;5.92;39000.0;88.02
Japan;2017;5.915;46000.0;89.69
Japan;2018;5.886;55000.0;92.4
Japan;2019;5.8708;50000.0;91.5
Japan;2020;5.94;39000.0;91.9
Japan;2021;6.039;47000.0;91.3
Japan;2022;6.129;50000.0;92.7
Japan;2023;6.06;46000.0;
Japan;2024;6.147;;
Spain;2011;6.761;;
Spain;2012;6.322;;68.22
Spain;2014;6.329;;72.89
Spain;2015;6.361;;74.7
Spain;2016;6.403;;75.01
Spain;2017;6.31;;76.63
Spain;2018;6.354;;75.53
Spain;2019;6.4009;;75.87
Spain;2020;6.491;;75.28
Spain;2021;6.476;;76.78
Spain;2022;6.436;;
Spain;2023;6.421;;77.35
Spain;2024;6.466;;
United Kingdom;2011;6.936;;
United Kingdom;2012;6.883;;81.38
United Kingdom;2014;6.867;;79.69
United Kingdom;2015;6.725;;80.76
United Kingdom;2016;6.714;;82.99
United Kingdom;2017;6.814;;83.63
United Kingdom;2018;7.054;;81.99
United Kingdom;2019;7.1645;;83.88
United Kingdom;2020;7.064;;83.39
United Kingdom;2021;6.943;;
United Kingdom;2022;6.796;;
United Kingdom;2023;6.749;;
United Kingdom;2024;6.728;;
United States;2011;7.27;21000.0;
United States;2012;7.082;22000.0;72.85
United States;2014;7.119;26000.0;
United States;2015;7.104;28000.0;
United States;2016;6.993;31000.0;
United States;2017;6.886;33000.0;
United States;2018;6.892;40000.0;
United States;2019;6.9396;33000.0;
United States;2020;6.951;31000.0;
United States;2021;6.977;35000.0;
United States;2022;6.894;40000.0;
United States;2023;6.725;38000.0;
World;2011;5.2613463;;
World;2012;5.319743;159000.0;
World;2014;5.283811;221000.0;
World;2015;5.2466707;254000.0;
World;2016;5.2268233;304000.0;
World;2017;5.1739993;400000.0;
World;2018;5.1497984;423000.0;
World;2019;5.0790086;387000.0;
World;2020;5.1641874;390000.0;
World;2021;5.180844;526000.0;
World;2022;5.2233496;553000.0;
World;2023;5.2620687;541000.0;
